,year,selling_price,km_driven,brand,fuel,seller,transmission,owner
0,18,11.002116507732017,11.156264806643742,Maruti_800,Petrol,Individual,Manual,First Owner
1,18,11.813037464800539,10.819798284210286,Maruti_Wagon,Petrol,Individual,Manual,First Owner
2,13,13.304686600863562,11.51293546492023,Hyundai_Verna,Diesel,Individual,Manual,First Owner
3,8,12.429220196836383,10.736418414365374,Datsun_RediGO,Petrol,Individual,Manual,First Owner
4,11,13.017005083966255,11.856522261533737,Honda_Amaze,Diesel,Individual,Manual,Second Owner
5,18,11.849404844423074,11.736077016252437,Maruti_Alto,Petrol,Individual,Manual,First Owner
6,9,13.217675375388819,10.12667110305036,Hyundai_Xcent,Petrol,Individual,Manual,First Owner
7,11,12.388398368982115,11.002116507732017,Tata_Indigo,Petrol,Individual,Manual,Second Owner
8,10,13.652992804936396,10.12667110305036,Hyundai_Creta,Petrol,Individual,Manual,First Owner
9,8,12.807655372286902,11.264476926102367,Maruti_Celerio,CNG,Individual,Manual,First Owner
10,10,12.468440756144114,10.463131911491967,Chevrolet_Sail,Petrol,Individual,Manual,First Owner
11,11,12.429220196836383,11.51293546492023,Tata_Indigo,Petrol,Individual,Manual,First Owner
12,7,14.316286451937186,10.12667110305036,Toyota_Corolla,Petrol,Dealer,Automatic,First Owner
13,18,11.002116507732017,11.156264806643742,Maruti_800,Petrol,Individual,Manual,First Owner
14,18,11.813037464800539,10.819798284210286,Maruti_Wagon,Petrol,Individual,Manual,First Owner
15,13,13.304686600863562,11.51293546492023,Hyundai_Verna,Diesel,Individual,Manual,First Owner
16,8,12.429220196836383,10.736418414365374,Datsun_RediGO,Petrol,Individual,Manual,First Owner
17,11,13.017005083966255,11.856522261533737,Honda_Amaze,Diesel,Individual,Manual,Second Owner
18,18,11.849404844423074,11.736077016252437,Maruti_Alto,Petrol,Individual,Manual,First Owner
19,9,13.217675375388819,10.12667110305036,Hyundai_Xcent,Petrol,Individual,Manual,First Owner
20,11,12.388398368982115,11.002116507732017,Tata_Indigo,Petrol,Individual,Manual,Second Owner
21,10,13.652992804936396,10.12667110305036,Hyundai_Creta,Petrol,Individual,Manual,First Owner
22,8,12.807655372286902,11.264476926102367,Maruti_Celerio,CNG,Individual,Manual,First Owner
23,10,12.468440756144114,10.463131911491967,Chevrolet_Sail,Petrol,Individual,Manual,First Owner
24,11,12.429220196836383,11.51293546492023,Tata_Indigo,Petrol,Individual,Manual,First Owner
25,7,14.316286451937186,10.12667110305036,Toyota_Corolla,Petrol,Dealer,Automatic,First Owner
26,10,13.279368835614243,10.085850775128717,Maruti_Ciaz,Petrol,Dealer,Manual,First Owner
27,6,13.993657580167481,8.517393171418904,Hyundai_Venue,Diesel,Dealer,Manual,First Owner
28,12,12.873904582205107,10.404293143019792,Chevrolet_Enjoy,Diesel,Individual,Manual,Second Owner
